Order_id,buyer_id,manufacturer_id,inventoryid_id,seller_id,c_time
1,Barry1511,1,80001,Davis925,9/27/2020
2,Barry820,2,80002,Davis3070,2/25/2021
3,Barry2105,3,80003,Davis1084,2/16/2021
4,Barry2681,4,80004,Davis428,1/31/2021
5,Barry272,5,80005,Davis3001,9/20/2020
6,Barry3239,6,80006,Davis1979,6/22/2020
7,Barry3303,7,80007,Davis2060,4/1/2021
8,Barry876,8,80008,Davis3294,5/23/2020
9,Barry3070,,80009,Davis4195,10/11/2020
10,Barry160,9,80010,Davis3852,7/14/2020
11,Barry4344,,80011,Davis4166,6/2/2020
12,Barry2348,10,80012,Davis3783,11/8/2020
13,Barry2011,11,80013,Davis4914,9/25/2020
14,Barry1891,,80014,Davis516,4/5/2021
15,Barry3108,12,80015,Davis3181,2/8/2021
16,Barry3426,13,80016,Davis3370,4/4/2021
17,Barry4560,,80017,Davis3499,6/8/2020
18,Barry508,14,80018,Davis4674,9/30/2020
19,Barry593,,80019,Davis2317,1/19/2021
20,Barry3897,15,80020,Davis1031,11/4/2020
21,Barry208,16,80021,Davis2084,12/4/2020
22,Barry3587,17,80022,Davis2065,2/8/2021
23,Barry4881,,80023,Davis467,4/29/2021
24,Barry1451,,80024,Davis1153,5/14/2021
25,Barry4120,,80025,Davis4047,9/4/2020
26,Barry260,,80026,Davis3412,7/16/2020
27,Barry3471,18,80027,Davis2749,5/1/2021
28,Barry4670,19,80028,Davis1088,12/2/2020
29,Barry2766,20,80029,Davis4642,11/11/2020
30,Barry3774,21,80030,Davis686,7/8/2020
31,Barry2841,,80031,Davis2742,2/22/2021
32,Barry3599,22,80032,Davis425,10/25/2020
33,Barry3820,,80033,Davis1804,11/9/2020
34,Barry3003,23,80034,Davis3733,12/11/2020
35,Barry1174,24,80035,Davis2460,5/12/2021
36,Barry637,25,80036,Davis810,5/15/2021
37,Barry3673,26,80037,Davis3775,11/22/2020
38,Barry4157,27,80038,Davis3626,5/18/2020
39,Barry3491,28,80039,Davis302,8/10/2020
40,Barry2198,,80040,Davis1844,3/6/2021
41,Barry2672,,80041,Davis2443,9/19/2020
42,Barry1968,,80042,Davis88,1/8/2021
43,Barry1332,29,80043,Davis4847,6/21/2020
44,Barry2332,,80044,Davis2266,8/16/2020
45,Barry597,30,80045,Davis4424,7/25/2020
46,Barry343,31,80046,Davis2518,5/22/2020
47,Barry4744,32,80047,Davis4938,6/16/2020
48,Barry2167,,80048,Davis814,7/12/2020
49,Barry3705,33,80049,Davis3177,7/22/2020
50,Barry644,34,80050,Davis2659,8/31/2020
51,Barry715,,80051,Davis3358,9/21/2020
52,Barry600,,80052,Davis3148,1/6/2021
53,Barry4381,35,80053,Davis2694,11/9/2020
54,Barry2890,36,80054,Davis1508,2/1/2021
55,Barry4924,,80055,Davis4903,10/12/2020
56,Barry285,37,80056,Davis2767,6/19/2020
57,Barry4351,38,80057,Davis1186,6/18/2020
58,Barry2020,,80058,Davis3511,1/30/2021
59,Barry4297,39,80059,Davis2339,5/19/2020
60,Barry1594,40,80060,Davis3208,10/25/2020
61,Barry2713,41,80061,Davis1189,12/21/2020
