id,name,price,brand,code,imag
0,Air Jordan 1 Retro High Hyper Royal,409,Jordan,555088 402,https://sneakercon-prodg.s3.amazonaws.com/pictures/Jordan-Air-Jordan-1-Retro-High-Hyper-Royal-01-555088_402.jpg
1,Yeezy Boost 700 Bright Blue,332,Adidas,GZ0541,https://sneakercon-prodg.s3.amazonaws.com/pictures/adidas-Yeezy-Boost-700-Bright-Blue-01-GZ0541.jpg
2,Air Jordan 1 Retro High OG Rust Shadow,237,Jordan,555088 033,https://sneakercon-prodg.s3.amazonaws.com/pictures/jordan-Air-Jordan-1-Retro-High-OG-Rust-Shadow-01-555088_033.jpg
3,Air Jordan 6 Retro 2021 Carmine,228,Jordan,CT8529 106,https://sneakercon-prodg.s3.amazonaws.com/pictures/Air-Jordan-6-Retro-Carmine-2021-01-CT8529_106.jpg
4,Dunk Low SB Pro Club 58 Gulf,315,Nike,BQ6817 401,https://sneakercon-prodg.s3.amazonaws.com/pictures/Nike-Dunk-Low-SB-Pro-Club-58-Gulf-01-BQ6817_401.jpg
5,Air Jordan 4 Retro GS Black Cat 2020,360,Jordan,408452 010,https://sneakercon-prodg.s3.amazonaws.com/pictures/air-jordan-4-retro-gs-black-cat-2020-01-408452_010.jpg
6,Lebron 9  Freegums,220,Nike,469764 101,https://sneakercon-prod.s3.amazonaws.com/pictures/nike-lebron-9-freegums-01-469764_101.jpg
7,Air Jordan 1 Mid Camo 2020,200,Jordan,CW5490 001,https://sneakercon-prodg.s3.amazonaws.com/pictures/air-jordan-1-mid-camo-2020-01-cw5490_001.jpg
8,Air Jordan 11 Retro Concord 2018,180,Jordan,378037 100,https://sneakercon-prodblue.s3.amazonaws.com/pictures/air-jordan-11-retro-concord-2018-01-378037_100.jpg
9,Air Jordan 1 Mid Grade School White Shadow,190,Jordan,554725 073,https://sneakercon-prodg.s3.amazonaws.com/pictures/air-jordan-1-mid-gs-01-554725_073.jpg
10,Air Jordan 3 Retro Varsity Royal,235,Jordan,CT8532 400,https://sneakercon-prodg.s3.amazonaws.com/pictures/Air-Jordan-3-Retro-Varsity-Royal-01-CT8532_400.jpg
11,Air Jordan 11 Low Grade School Legend Blue,163,Jordan,528896 117,https://sneakercon-prodg.s3.amazonaws.com/pictures/Jordan-Air-Jordan-11-Low-Grade-School-Legend-Blue-01-528896_117.jpg
12,Air Foamposite One All-Star,290,Nike,CV1766 001,https://sneakercon-prodg.s3.amazonaws.com/pictures/nike-Air-Foamposite-One-All-Star-01-CV1766_001.jpg
13,Air Jordan 7 Retro Flint 2021,200,Jordan,CU9307 100,
14,Yeezy Boost 700 Wave Runner,400,Adidas,B75571,https://sneakercon-prodblue.s3.amazonaws.com/pictures/adidas-yeezy-boost-700-wave-runner-01-B75571.jpg
15,Air Jordan 5 Retro Red Suede,60,Jordan,136027 602,https://sneakercon-prod.s3.amazonaws.com/pictures/air-jordan-5-red-suede-01-136027_602.jpg
16,Air Jordan 11 Retro Cool Grey,110,Jordan,528895 003,https://sneakercon-prod.s3.amazonaws.com/pictures/air-jordan-11-retro-low-cool-grey-01-528895_003.jpg
17,Air Max 270 React x Travis Scott Cactus Trails,350,Nike,CT2864 200,https://sneakercon-prodg.s3.amazonaws.com/pictures/nike-Air-Max-270-React-x-Travis-Scott-Cactus-Trails-01-CT2864_200.jpg
18,Air Jordan 1 Low Grade School Strawberry Ice Cream,260,Jordan,CW7104 601,https://sneakercon-prodg.s3.amazonaws.com/pictures/Air-Jordan-1-Low-Grade-School-Strawberry-Ice-Cream-01-CW7104_601.jpg
19,Air Jordan 1 Mid SE All-Star Weekend,158,Air Jordan,DD1649 001,https://sneakercon-prodg.s3.amazonaws.com/pictures/Air-Jordan-1-Mid-SE-All-Star-Weekend-01-DD1649_001.jpg
20,Air Jordan 1 Retro High Grade School Hyper Royal,350,Jordan,575441 402,https://sneakercon-prodg.s3.amazonaws.com/pictures/jordan-Air-Jordan-1-Retro-High-Grade-School-Hyper-Royal-01-575441_402.jpg
21,Air Jordan 1 Mid Wmns Barely Rose,163,Jordan,BQ6472 500,https://sneakercon-prodg.s3.amazonaws.com/pictures/Wmns-Air-Jordan-1-Mid-Barely-Rose-01-BQ6472_500.jpg
22,Air Jordan 13 Retro Red Flint,219,Jordan,DJ5982 600,https://sneakercon-prodg.s3.amazonaws.com/pictures/Jordan-Air-Jordan-13-Retro-Red-Flint-01-DJ5982_600.jpg
23,Air Jordan 4 Retro University Blue,310,Jordan,CT8527 400,https://sneakercon-prodg.s3.amazonaws.com/pictures/Jordan-Air-Jordan-4-Retro-University-Blue-01-CT8527_400.jpg
24,550 White Black,220,New Balance,BB550LM1,https://sneakercon-prodg.s3.amazonaws.com/pictures/550-White-Black-01-BB550LM1.jpg
25,Air Jordan 4 Grade School University Blue,105,Jordan,408452 400,https://sneakercon-prodg.s3.amazonaws.com/pictures/Jordan-Air-Jordan-4-Grade-School-University-Blue-01-408452_400.jpg
26,Air Jordan 12 Retro  Wings,362,Jordan,848692 033,https://sneakercon-prodblue.s3.amazonaws.com/pictures/air-jordan-12-retro-wings-01-848692_033.jpg
27,Air Jordan 4 Off-White WMNS Sail,1160,Jordan,CV9388 100,https://sneakercon-prodg.s3.amazonaws.com/pictures/Air-Jordan-4-x-Off-White-WMNS-Sail-01-CV9388_100.jpg
28,Shaqnosis White Black,150,Reebok,EF3069,https://sneakercon-prodg.s3.amazonaws.com/pictures/Reebok-Shaqnosis-White-Black-01-EF3069.jpg
29,Wmns Zoom Pegasus Turbo 2 SE Vivid Purple,125,Nike,BV7757 500,https://sneakercon-prodg.s3.amazonaws.com/pictures/nike-Wmns-Zoom-Pegasus-Turbo-2-SE-Vivid-Purple-01-BV7757_500.jpg
30,Air Force 1 Low Puerto Rico 2020,235,Nike,CJ1386 100,https://sneakercon-prodg.s3.amazonaws.com/pictures/nike-air-force-1-low-puerto-rico-2020-01-cj1386_100.jpg
31,Air Max Tailwind 4 Aqua,80,Nike,AQ2567 103,https://sneakercon-prodg.s3.amazonaws.com/pictures/nike-air-max-tailwind-4-aqua-01-AQ2567_103.jpg
32,Solar Hu Glide x Pharrell Williams Cream,120,Adidas,EG7767,https://sneakercon-prodg.s3.amazonaws.com/pictures/adidas-solar-hu-glide-x-pharrell-williams-cream-01-EG7767.jpg
33,ACG React Terra Gobe Amarillo,75,Nike,BV6344 700,https://sneakercon-prodg.s3.amazonaws.com/pictures/nike-acg-react-terra-gobe-amarillo-01-BV6344_700.jpg
